refperiodid,freqcode,typecode,refyear,refmonth,reporteriso,reporterdesc,partneriso,partnerdesc,classificationcode,aggrlevel,isleaf,moscode,motcode,flowcode,cmdcode,cmddesc,qty,netwgt,cifvalue,fobvalue,primaryvalue,isreported
20080101,A,C,2008,52,RUS,Russian Federation,ARE,United Arab Emirates,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,804956559.0,804956559.0,True
20080101,A,C,2008,52,SGP,Singapore,CAN,Canada,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,1960174918.0,1960174918.0,True
20080101,A,C,2008,52,RUS,Russian Federation,ARE,United Arab Emirates,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,41478398.0,0.0,41478398.0,True
20080101,A,C,2008,52,NGA,Nigeria,ARE,United Arab Emirates,H2,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,911930850.0,0.0,911930850.0,True
20080101,A,C,2008,52,NLD,Netherlands,ARE,United Arab Emirates,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,3255466762.0,3255466762.0,True
20080101,A,C,2008,52,NLD,Netherlands,ARE,United Arab Emirates,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,1091140514.0,0.0,1091140514.0,True
20080101,A,C,2008,52,SAU,Saudi Arabia,CHE,Switzerland,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,329803612.0,329803612.0,True
20080101,A,C,2008,52,SAU,Saudi Arabia,CHE,Switzerland,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,2030117738.0,0.0,2030117738.0,True
20080101,A,C,2008,52,RUS,Russian Federation,CHE,Switzerland,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,10302830262.0,10302830262.0,True
20080101,A,C,2008,52,NGA,Nigeria,ARE,United Arab Emirates,H2,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,76553257.0,76553257.0,True
20080101,A,C,2008,52,ZAF,South Africa,CAN,Canada,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,0.0,928020523.0,928020523.0,True
20080101,A,C,2008,52,ZAF,South Africa,CAN,Canada,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,425385292.0,425385292.0,True
20080101,A,C,2008,52,IND,India,CHN,China,H2,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,31586024206.0,0.0,31586024206.0,True
20080101,A,C,2008,52,IND,India,KOR,Rep. of Korea,H2,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,8350676521.0,0.0,8350676521.0,True
20080101,A,C,2008,52,IND,India,KOR,Rep. of Korea,H2,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,3773311534.0,3773311534.0,True
20080101,A,C,2008,52,SGP,Singapore,KOR,Rep. of Korea,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,18135057307.0,0.0,18135057307.0,True
20080101,A,C,2008,52,SGP,Singapore,KOR,Rep. of Korea,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,12283886938.0,12283886938.0,True
20080101,A,C,2008,52,ZAF,South Africa,KOR,Rep. of Korea,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,0.0,1437057320.0,1437057320.0,True
20080101,A,C,2008,52,ZAF,South Africa,KOR,Rep. of Korea,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,1506740743.0,1506740743.0,True
20080101,A,C,2008,52,IND,India,MEX,Mexico,H2,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,1800095215.0,0.0,1800095215.0,True
20080101,A,C,2008,52,IND,India,MEX,Mexico,H2,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,684343022.0,684343022.0,True
20080101,A,C,2008,52,SGP,Singapore,MEX,Mexico,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,703429211.0,0.0,703429211.0,True
20080101,A,C,2008,52,SGP,Singapore,MEX,Mexico,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,1441597422.0,1441597422.0,True
20080101,A,C,2008,52,ZAF,South Africa,MEX,Mexico,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,0.0,349338733.0,349338733.0,True
20080101,A,C,2008,52,ZAF,South Africa,MEX,Mexico,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,183915772.0,183915772.0,True
20080101,A,C,2008,52,IND,India,NLD,Netherlands,H2,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,1881000382.0,0.0,1881000382.0,True
20080101,A,C,2008,52,IND,India,NLD,Netherlands,H2,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,6528600259.0,6528600259.0,True
20080101,A,C,2008,52,SGP,Singapore,NLD,Netherlands,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,4127089462.0,0.0,4127089462.0,True
20080101,A,C,2008,52,SGP,Singapore,NLD,Netherlands,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,7246944856.0,7246944856.0,True
20080101,A,C,2008,52,ZAF,South Africa,NLD,Netherlands,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,0.0,1213191564.0,1213191564.0,True
20080101,A,C,2008,52,IND,India,SAU,Saudi Arabia,H2,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,22982841185.0,0.0,22982841185.0,True
20080101,A,C,2008,52,ZAF,South Africa,RUS,Russian Federation,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,242974588.0,242974588.0,True
20080101,A,C,2008,52,ZAF,South Africa,RUS,Russian Federation,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,0.0,306430520.0,306430520.0,True
20080101,A,C,2008,52,SGP,Singapore,RUS,Russian Federation,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,448884524.0,448884524.0,True
20080101,A,C,2008,52,SGP,Singapore,RUS,Russian Federation,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,2241846594.0,0.0,2241846594.0,True
