Period,Trade Flow,Reporter,Partner,2nd Partner,Customs Desc,Transport Mode,Commodity Code,Trade Value (US$),Net Weight(kg),Gross Weight,Qty Unit,Qty,Alternate Quantity unit,Alternate Quantity
2009,M,Australia,USA,World,TOTAL CPC,TOTAL MOT,TOTAL,"$18,669,858,038",0,0,N/A,0,N/A,0
2009,X,Australia,USA,World,TOTAL CPC,TOTAL MOT,TOTAL,"$7,467,440,941",0,0,N/A,0,N/A,0
2009,M,Belgium,USA,World,TOTAL CPC,TOTAL MOT,TOTAL,"$20,942,785,250",0,0,N/A,0,N/A,0
2009,X,Belgium,USA,World,TOTAL CPC,TOTAL MOT,TOTAL,"$19,954,538,183",0,0,N/A,0,N/A,0
2009,M,Brazil,USA,World,TOTAL CPC,TOTAL MOT,TOTAL,"$21,188,182,991",0,0,N/A,0,N/A,0
2009,X,Brazil,USA,World,TOTAL CPC,TOTAL MOT,TOTAL,"$15,741,892,442",0,0,N/A,0,N/A,0
2009,M,Canada,Australia,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,428,777,545",0,0,N/A,0,N/A,0
2009,X,Canada,Australia,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,557,928,978",0,0,N/A,0,N/A,0
2009,M,Canada,Belgium,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,272,737,962",0,0,N/A,0,N/A,0
2009,X,Canada,Belgium,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,666,208,708",0,0,N/A,0,N/A,0
2009,M,Canada,Brazil,World,TOTAL CPC,TOTAL MOT,TOTAL,"$2,267,414,305",0,0,N/A,0,N/A,0
2009,X,Canada,Brazil,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,404,142,941",0,0,N/A,0,N/A,0
2009,M,Canada,Canada,World,TOTAL CPC,TOTAL MOT,TOTAL,"$2,922,856,248",0,0,N/A,0,N/A,0
2009,M,Canada,France,World,TOTAL CPC,TOTAL MOT,TOTAL,"$4,950,577,717",0,0,N/A,0,N/A,0
2009,X,Canada,France,World,TOTAL CPC,TOTAL MOT,TOTAL,"$2,351,621,235",0,0,N/A,0,N/A,0
2009,M,Canada,Germany,World,TOTAL CPC,TOTAL MOT,TOTAL,"$9,515,791,799",0,0,N/A,0,N/A,0
2009,X,Canada,Germany,World,TOTAL CPC,TOTAL MOT,TOTAL,"$3,250,434,923",0,0,N/A,0,N/A,0
2009,M,Canada,"China, Hong Kong SAR",World,TOTAL CPC,TOTAL MOT,TOTAL,"$320,253,666",0,0,N/A,0,N/A,0
2009,X,Canada,"China, Hong Kong SAR",World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,312,173,849",0,0,N/A,0,N/A,0
2009,M,Canada,Italy,World,TOTAL CPC,TOTAL MOT,TOTAL,"$3,910,365,326",0,0,N/A,0,N/A,0
