typecode,refyear,reporteriso,reporterdesc,partneriso,partnerdesc,flowcode,cmdcode,cmddesc,qty,netwgt,cifvalue,fobvalue,primaryvalue,isreported
C,2008,NLD,Netherlands,CHN,China,M,TOTAL,All Commodities,0.0,0.0,36833042987,0,36833042987,True
C,2008,NLD,Netherlands,AUS,Australia,X,TOTAL,All Commodities,0.0,0.0,0,2045359944,2045359944,True
C,2008,NGA,Nigeria,AUS,Australia,M,TOTAL,All Commodities,0.0,0.0,138799618,0,138799618,True
C,2008,NGA,Nigeria,AUS,Australia,X,TOTAL,All Commodities,0.0,0.0,0,4554933,4554933,True
C,2008,RUS,Russian Federation,AUS,Australia,M,TOTAL,All Commodities,0.0,0.0,1025162181,0,1025162181,True
C,2008,RUS,Russian Federation,AUS,Australia,X,TOTAL,All Commodities,0.0,0.0,0,82042909,82042909,True
C,2008,SAU,Saudi Arabia,AUS,Australia,M,TOTAL,All Commodities,0.0,0.0,2457288672,0,2457288672,True
C,2008,SAU,Saudi Arabia,AUS,Australia,X,TOTAL,All Commodities,0.0,0.0,0,388358352,388358352,True
C,2008,NLD,Netherlands,BEL,Belgium,M,TOTAL,All Commodities,0.0,0.0,49942595662,0,49942595662,True
C,2008,NLD,Netherlands,BEL,Belgium,X,TOTAL,All Commodities,0.0,0.0,0,63312896847,63312896847,True
C,2008,NGA,Nigeria,BEL,Belgium,M,TOTAL,All Commodities,0.0,0.0,1593519882,0,1593519882,True
C,2008,NGA,Nigeria,BEL,Belgium,X,TOTAL,All Commodities,0.0,0.0,0,843139538,843139538,True
C,2008,RUS,Russian Federation,BEL,Belgium,M,TOTAL,All Commodities,0.0,0.0,4058249944,0,4058249944,True
C,2008,RUS,Russian Federation,BEL,Belgium,X,TOTAL,All Commodities,0.0,0.0,0,4618511502,4618511502,True
C,2008,SAU,Saudi Arabia,BEL,Belgium,M,TOTAL,All Commodities,0.0,0.0,1062753595,0,1062753595,True
C,2008,SAU,Saudi Arabia,BEL,Belgium,X,TOTAL,All Commodities,0.0,0.0,0,1097639239,1097639239,True
C,2008,NLD,Netherlands,BRA,Brazil,M,TOTAL,All Commodities,0.0,0.0,7152683371,0,7152683371,True
C,2008,NLD,Netherlands,BRA,Brazil,X,TOTAL,All Commodities,0.0,0.0,0,1814460277,1814460277,True
C,2008,SAU,Saudi Arabia,CAN,Canada,X,TOTAL,All Commodities,0.0,0.0,0,13726684,13726684,True
