typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","76","BRA","Brazil","X","Export","392","JPN","Japan","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"7963908764","7963908764","4","false","true",
"C","A","20130101","2013","52","2013","36","AUS","Australia","M","Import","410","KOR","Rep. of Korea","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"9422431785","9422431785","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","410","KOR","Rep. of Korea","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"17710695419","17710695419","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","M","Import","410","KOR","Rep. of Korea","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1886476834.202","0","1886476834.202","4","false","true",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","410","KOR","Rep. of Korea","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","1329878957.077","1329878957.077","4","false","true",
"C","A","20130101","2013","52","2013","76","BRA","Brazil","M","Import","410","KOR","Rep. of Korea","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","9991083940","9491632305","9991083940","4","false","true",
"C","A","20130101","2013","52","2013","76","BRA","Brazil","X","Export","410","KOR","Rep. of Korea","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"4719382566","4719382566","4","false","true",
"C","A","20130101","2013","52","2013","36","AUS","Australia","M","Import","484","MEX","Mexico","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"2012584325","2012584325","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","484","MEX","Mexico","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"350062825","350062825","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","M","Import","484","MEX","Mexico","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","887512389","0","887512389","4","false","true",
